Timestamp,ImageName,NormalizedX,NormalizedY,ColorHex,Label
2026-05-25 17:49:42.001,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.651608,0.839033,82BE08,Nodule
2026-05-25 17:49:42.010,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.651471,0.839512,82BE08,Nodule
2026-05-25 17:49:42.024,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.651067,0.839792,82BE08,Nodule
2026-05-25 17:49:42.038,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.650881,0.839645,82BE08,Nodule
2026-05-25 17:49:42.052,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.650727,0.839353,82BE08,Nodule
2026-05-25 17:49:42.066,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.650842,0.839256,82BE08,Nodule
2026-05-25 17:49:42.082,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.646230,0.839454,82BE08,Nodule
2026-05-25 17:49:42.094,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.645655,0.839479,82BE08,Nodule
2026-05-25 17:49:42.109,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.641010,0.834877,82BE08,Nodule
2026-05-25 17:49:42.122,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.640991,0.835088,82BE08,Nodule
2026-05-25 17:49:42.135,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.641567,0.834885,82BE08,Nodule
2026-05-25 17:49:42.151,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.641886,0.829225,82BE08,Nodule
2026-05-25 17:49:42.164,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.641588,0.828580,82BE08,Nodule
2026-05-25 17:49:42.178,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.641132,0.822951,82BE08,Nodule
2026-05-25 17:49:42.193,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.640832,0.817678,82BE08,Nodule
2026-05-25 17:49:42.207,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.640508,0.812560,82BE08,Nodule
2026-05-25 17:49:42.221,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.640011,0.802626,82BE08,Nodule
2026-05-25 17:49:42.234,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.635916,0.798342,82BE08,Nodule
2026-05-25 17:49:42.248,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.635875,0.793287,82BE08,Nodule
2026-05-25 17:49:42.262,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.631515,0.788790,82BE08,Nodule
2026-05-25 17:49:42.277,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.627017,0.784247,82BE08,Nodule
2026-05-25 17:49:42.291,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.626966,0.779313,82BE08,Nodule
2026-05-25 17:49:42.302,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.626797,0.779251,82BE08,Nodule
2026-05-25 17:49:42.317,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.626721,0.774493,82BE08,Nodule
2026-05-25 17:49:42.333,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.626356,0.764976,82BE08,Nodule
2026-05-25 17:49:42.346,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.626279,0.760296,82BE08,Nodule
2026-05-25 17:49:42.362,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.626052,0.755576,82BE08,Nodule
2026-05-25 17:49:42.375,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.625699,0.745919,82BE08,Nodule
2026-05-25 17:49:42.388,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.625718,0.741147,82BE08,Nodule
2026-05-25 17:49:42.402,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.626364,0.736124,82BE08,Nodule
2026-05-25 17:49:42.415,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.626853,0.735781,82BE08,Nodule
2026-05-25 17:49:42.429,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.626864,0.725776,82BE08,Nodule
2026-05-25 17:49:42.443,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.626774,0.720651,82BE08,Nodule
2026-05-25 17:49:42.457,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.626995,0.720334,82BE08,Nodule
2026-05-25 17:49:42.471,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.626641,0.710169,82BE08,Nodule
2026-05-25 17:49:42.486,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.626596,0.704848,82BE08,Nodule
