Timestamp,ImageName,NormalizedX,NormalizedY,ColorHex,Label
2026-05-25 18:14:36.993,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.850415,0.324292,00BFFF,Pleural thickening
2026-05-25 18:14:37.011,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.836981,0.325462,00BFFF,Pleural thickening
2026-05-25 18:14:37.025,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.828744,0.326156,00BFFF,Pleural thickening
2026-05-25 18:14:37.039,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.817855,0.327671,00BFFF,Pleural thickening
2026-05-25 18:14:37.053,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.801703,0.329554,00BFFF,Pleural thickening
2026-05-25 18:14:37.066,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.788155,0.331084,00BFFF,Pleural thickening
2026-05-25 18:14:37.081,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.774613,0.332591,00BFFF,Pleural thickening
2026-05-25 18:14:37.095,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.766586,0.333298,00BFFF,Pleural thickening
2026-05-25 18:14:37.109,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.752816,0.331340,00BFFF,Pleural thickening
2026-05-25 18:14:37.122,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.738711,0.325880,00BFFF,Pleural thickening
2026-05-25 18:14:37.136,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.727683,0.323448,00BFFF,Pleural thickening
2026-05-25 18:14:37.150,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.719092,0.317589,00BFFF,Pleural thickening
2026-05-25 18:14:37.164,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.712945,0.308356,00BFFF,Pleural thickening
2026-05-25 18:14:37.179,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.704100,0.299314,00BFFF,Pleural thickening
2026-05-25 18:14:37.192,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.701306,0.296107,00BFFF,Pleural thickening
2026-05-25 18:14:37.206,996bc14f-d8da90e8-52865b30-26b0fd1b-f4d2a9c3,0.692355,0.283695,00BFFF,Pleural thickening
