image,timestamp_start_fixation,timestamp_end_fixation,x_position,y_position,angular_resolution_x_pixels_per_degree,angular_resolution_y_pixels_per_degree,window_width,window_level,xmin_shown_from_image,ymin_shown_from_image,xmax_shown_from_image,ymax_shown_from_image,xmin_in_screen_coordinates,ymin_in_screen_coordinates,xmax_in_screen_coordinates,ymax_in_screen_coordinates
53ba5a31-2d6bda0a-abb7ad77-065a0f20-b4fa6b44,0.275,0.486,1404,1081,27,27,1.0,0.5,0,0,3000,2498,623,0,3217,2160
53ba5a31-2d6bda0a-abb7ad77-065a0f20-b4fa6b44,0.528,0.64,1489,1260,27,27,1.0,0.5,0,0,3000,2498,623,0,3217,2160
53ba5a31-2d6bda0a-abb7ad77-065a0f20-b4fa6b44,1.239,1.364,2351,1006,27,27,1.0,0.5,0,0,3000,2498,623,0,3217,2160
53ba5a31-2d6bda0a-abb7ad77-065a0f20-b4fa6b44,1.532,1.671,1921,881,27,27,1.0,0.5,0,0,3000,2498,623,0,3217,2160
53ba5a31-2d6bda0a-abb7ad77-065a0f20-b4fa6b44,1.781,1.963,2102,1057,27,27,1.0,0.5,0,0,3000,2498,623,0,3217,2160
53ba5a31-2d6bda0a-abb7ad77-065a0f20-b4fa6b44,2.895,3.02,1197,1788,27,27,1.0,0.5,0,0,3000,2498,623,0,3217,2160
53ba5a31-2d6bda0a-abb7ad77-065a0f20-b4fa6b44,3.035,3.174,1146,1818,27,27,1.0,0.5,0,0,3000,2498,623,0,3217,2160
53ba5a31-2d6bda0a-abb7ad77-065a0f20-b4fa6b44,3.411,3.513,890,1411,27,27,1.0,0.5,0,0,3000,2498,623,0,3217,2160
53ba5a31-2d6bda0a-abb7ad77-065a0f20-b4fa6b44,3.634,3.926,545,1923,27,27,1.0,0.5,0,0,3000,2498,623,0,3217,2160
53ba5a31-2d6bda0a-abb7ad77-065a0f20-b4fa6b44,4.274,4.427,525,1632,27,27,1.0,0.5,0,0,3000,2498,623,0,3217,2160
