image,timestamp_start_fixation,timestamp_end_fixation,x_position,y_position,angular_resolution_x_pixels_per_degree,angular_resolution_y_pixels_per_degree,window_width,window_level,xmin_shown_from_image,ymin_shown_from_image,xmax_shown_from_image,ymax_shown_from_image,xmin_in_screen_coordinates,ymin_in_screen_coordinates,xmax_in_screen_coordinates,ymax_in_screen_coordinates
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,0.181,0.361,1452,832,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,0.402,0.611,1221,1214,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,0.639,0.847,1375,1339,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,1.014,1.209,1074,1817,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,1.292,1.514,716,1394,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,1.556,1.792,789,1062,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,1.833,1.944,1226,1362,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,1.986,2.194,1265,1861,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,2.222,2.444,1128,2074,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,2.486,2.666,1400,2169,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,2.735,2.972,1562,2382,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,3.042,3.236,1133,2291,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,3.291,3.444,1085,1847,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,3.556,3.861,815,1660,24,24,1.0,0.5,0,0,2663,3000,961,0,2879,2160
